,id,original_title,popularity,vote_count,genre_ids
231,800,Los olvidados,12.163,442,"[80, 18]"
232,1010581,Culpa mía,270.027,2057,"[18, 10749]"
233,8422,Rocco e i suoi fratelli,12.716,526,"[18, 10749, 80]"
234,785534,Kağıttan Hayatlar,13.06,347,[18]
235,831827,Far from the Tree,14.262,346,"[16, 10751]"
236,147,Les Quatre Cents Coups,16.585,1972,[18]
237,7347,Tropa de Elite,19.597,2213,"[18, 28, 80]"
238,11659,La meglio gioventù,13.817,486,"[18, 36, 10749]"
239,381284,Hidden Figures,52.416,9084,"[18, 36]"
240,610461,"Veinteañera, Divorciada y Fantástica",10.914,376,[35]
241,522518,A Dog's Journey,32.939,1388,"[10751, 12, 18]"
242,120467,The Grand Budapest Hotel,35.385,14007,"[35, 18]"
243,1091,The Thing,56.213,6396,"[27, 9648, 878]"
244,538362,Sulla mia pelle,12.712,1813,[18]
245,26022,My Name Is Khan,17.197,1221,"[18, 10749]"
246,1955,The Elephant Man,25.678,3227,"[18, 36]"
247,400928,Gifted,50.679,5074,"[18, 35]"
248,337404,Cruella,103.562,8674,"[35, 80]"
249,42229,Una giornata particolare,9.444,599,"[18, 10749]"
250,821,Judgment at Nuremberg,20.434,700,"[18, 36, 10752]"
251,678580,El mesero,9.614,344,[35]
252,449176,"Love, Simon",28.608,5798,"[35, 18, 10749]"
253,310569,Que Horas Ela Volta?,8.329,682,[18]
254,279,Amadeus,35.76,3912,"[36, 10402, 18]"
255,106646,The Wolf of Wall Street,111.22,22629,"[80, 18, 35]"
256,582,Das Leben der Anderen,18.246,3384,"[18, 53]"
257,526702,Black Beauty,21.397,315,[18]
258,515001,Jojo Rabbit,29.749,8891,"[35, 10752, 18]"
259,780,La Passion de Jeanne d'Arc,16.015,846,"[18, 36]"
260,204,Le Salaire de la peur,14.738,828,"[18, 53, 12]"
261,264644,Room,29.467,8774,"[18, 53]"
262,55960,"Totò, Peppino e la... malafemmina",8.371,322,"[35, 10749]"
263,641,Requiem for a Dream,17.221,9327,"[80, 18]"
264,307,Roma città aperta,17.615,802,"[18, 36, 10752]"
265,521,Dial M for Murder,26.644,2393,"[53, 80]"
266,673,Harry Potter and the Prisoner of Azkaban,176.555,20385,"[12, 14]"
267,14,American Beauty,39.211,11436,[18]
268,339877,Loving Vincent,17.51,2308,"[16, 18, 9648, 36]"
269,9277,The Sting,23.468,2389,"[35, 80, 18]"
270,962,The Gold Rush,23.12,1459,"[12, 35, 18]"
271,20530,晩春,13.068,358,[18]
272,938,Per qualche dollaro in più,39.94,3639,[37]
273,110416,Song of the Sea,30.511,1314,"[10751, 16, 14]"
274,28422,愛のむきだし,9.704,400,"[28, 35, 18, 10749]"
275,9764,Дерсу Узала,15.103,471,"[28, 12, 18]"
276,359724,Ford v Ferrari,74.872,7147,"[18, 28, 36]"
277,455661,In a Heartbeat,8.303,968,"[10751, 16, 10749, 35]"
278,429210,Bingo: O Rei das Manhãs,8.308,356,"[35, 18]"
279,524,Casino,29.193,5378,"[80, 18, 36]"
280,429210,Bingo: O Rei das Manhãs,8.308,356,"[35, 18]"
281,28178,Hachi: A Dog's Tale,41.35,6319,"[18, 10751]"
282,205596,The Imitation Game,90.137,16188,"[36, 18, 53, 10752]"
283,5801,পথের পাঁচালী,10.978,359,[18]
284,11778,The Deer Hunter,27.525,3483,"[18, 10752]"
285,1396,Зеркало,18.269,861,"[18, 36]"
286,574074,Kitbull,14.248,330,"[16, 10751, 18]"
287,28978,The Circus,13.755,717,"[35, 10749]"
288,3175,Barry Lyndon,22.375,2603,"[18, 10749, 10752]"
289,615457,Nobody,74.864,6397,"[28, 53]"
290,568160,天気の子,39.918,2032,"[16, 18, 14, 10749]"
291,140420,Paperman,18.365,1636,"[16, 10751, 10749]"
292,11104,重慶森林,31.072,1585,"[18, 35, 10749]"
293,447365,Guardians of the Galaxy Vol. 3,240.88,5561,"[878, 12, 28]"
294,2517,誰も知らない,18.711,452,[18]
295,980489,Gran Turismo,282.632,1679,"[12, 28, 18]"
296,13223,Gran Torino,34.247,10148,[18]
297,424694,Bohemian Rhapsody,50.399,16139,"[10402, 18]"
298,12761,Höstsonaten,14.824,529,[18]
299,595,To Kill a Mockingbird,28.157,2414,[18]
300,20453,3 Idiots,36.481,2202,"[18, 35]"
301,18438,김씨 표류기,11.936,626,"[18, 35, 10749]"
302,530915,1917,51.251,11581,"[10752, 28, 18]"
303,43949,Flipped,46.808,2723,"[10749, 18]"
304,25376,El secreto de sus ojos,26.6,2344,"[9648, 53, 18]"
305,980489,Gran Turismo,282.632,1680,"[12, 28, 18]"
306,213,North by Northwest,29.041,3809,"[9648, 53, 12]"
307,19426,Le notti di Cabiria,14.712,701,[18]
308,916224,すずめの戸締まり,118.099,885,"[16, 18, 12, 14]"
309,315465,バケモノの子,22.917,1380,"[28, 12, 16, 18, 10751, 14]"
310,12104,Pink Floyd: The Wall,15.874,1382,"[10402, 18]"
311,7508,तारे ज़मीन पर,18.463,1065,[18]
312,554596,No Manches Frida 2,56.334,820,[35]
313,947,Lawrence of Arabia,25.471,2740,"[12, 18, 36, 10752]"
314,634649,Spider-Man: No Way Home,360.89,18724,"[28, 12, 878]"
315,414419,Kill Bill: The Whole Bloody Affair,19.643,923,"[28, 80, 53]"
316,488623,기억의 밤,31.171,945,"[53, 9648, 80]"
317,11658,태극기 휘날리며,16.999,609,"[28, 12, 18, 36, 10752]"
318,640,Catch Me If You Can,54.689,14661,"[18, 80]"
319,15383,L'Armée des ombres,16.983,574,"[10752, 18, 36]"
320,14696,雨月物語,21.423,515,"[14, 18, 9648]"
321,862,Toy Story,135.75,17415,"[16, 12, 10751, 35]"
322,10515,天空の城ラピュタ,49.652,3837,"[12, 14, 16, 28, 10751, 10749]"
323,627,Trainspotting,29.749,9135,"[18, 80]"
324,24,Kill Bill: Vol. 1,47.254,16414,"[28, 80]"
325,76,Before Sunrise,38.404,3807,"[18, 10749]"
326,1002185,A Million Miles Away,42.654,312,"[18, 36]"
327,961,The General,14.923,1114,"[35, 10752, 12, 28, 36, 10749]"
328,961323,Nimona,55.301,632,"[16, 14]"
329,38360,Летят журавли,20.493,326,"[18, 10749, 10752]"
330,38286,Tre uomini e una gamba,9.401,1982,[35]
331,1580,Rope,21.686,2451,"[53, 80, 18]"
332,770,Gone with the Wind,40.654,3759,"[18, 10752, 10749]"
333,234,Das Cabinet des Dr. Caligari,22.028,1422,"[18, 27, 53, 80]"
334,3090,The Treasure of the Sierra Madre,21.674,1092,"[12, 18, 37]"
335,19542,The Red Shoes,11.24,584,"[18, 10749]"
336,776503,CODA,50.349,1982,"[18, 10402, 10749]"
337,426618,Where Hands Touch,16.393,498,"[10752, 18, 10749]"
338,20803,Иван Васильевич меняет профессию,10.484,309,"[35, 878]"
339,70,Million Dollar Baby,26.506,9010,[18]
340,920394,Babamın Kemanı,13.944,315,"[18, 10402]"
341,1059,隠し砦の三悪人,20.065,550,"[18, 28, 12]"
342,160885,Tel chi el telùn,5.656,311,[35]
343,14160,Up,112.636,19144,"[16, 35, 10751, 12]"
344,1578,Raging Bull,27.671,3961,[18]
345,550205,Wish Dragon,54.881,1198,"[16, 10751, 35, 14]"
346,242828,思い出のマーニー,36.775,1649,"[16, 18]"
347,745,The Sixth Sense,48.894,10943,"[9648, 53, 18]"
348,76203,12 Years a Slave,35.187,10733,"[18, 36]"
349,29264,El ángel exterminador,9.667,600,"[35, 18, 14]"
350,714888,"Argentina, 1985",24.842,537,"[18, 36, 80]"
351,329,Jurassic Park,36.715,15373,"[12, 878]"
352,149,AKIRA,39.742,3818,"[16, 878, 28]"
353,110,Trois couleurs : Rouge,19.23,1254,"[18, 9648, 10749]"
354,615453,哪吒之魔童降世,23.563,371,"[16, 14, 12]"
355,5925,The Great Escape,44.154,2327,"[12, 18, 36, 53, 10752]"
356,1092,The Third Man,21.284,1706,"[53, 9648]"
357,654,On the Waterfront,18.095,1439,"[80, 18, 10749]"
358,237791,Hoje Eu Quero Voltar Sozinho,11.495,904,"[18, 10749]"
359,158445,7번방의 선물,16.321,395,"[18, 35]"
360,41050,La notte,9.904,610,"[18, 10749]"
361,775,Le Voyage dans la Lune,21.589,1629,"[12, 878]"
362,482321,Ron's Gone Wrong,41.506,1686,"[16, 878, 10751, 35]"
363,21334,بچه‌های آسمان,15.318,555,"[18, 10751]"
364,15244,Un condamné à mort s'est échappé,12.787,474,"[18, 53]"
365,10238,Viskningar och rop,14.233,631,[18]
366,28971,Limelight,13.678,474,"[10749, 18, 10402]"
367,679,Aliens,72.675,8914,"[28, 53, 878]"
368,6977,No Country for Old Men,46.145,11165,"[80, 18, 53]"
369,11712,椿三十郎,14.78,551,"[18, 28, 35]"
370,197,Braveheart,48.807,9503,"[28, 18, 36, 10752]"
371,20722,つみきのいえ,9.928,410,[16]
372,81,風の谷のナウシカ,40.398,3255,"[12, 16, 14]"
373,78,Blade Runner,69.162,12994,"[878, 18, 53]"
374,152532,Dallas Buyers Club,24.975,8098,"[18, 36]"
375,11010,Il postino,10.048,1080,"[35, 18, 10749]"
376,9323,GHOST IN THE SHELL,31.654,3095,"[28, 16, 878]"
377,37797,耳をすませば,42.541,1802,"[16, 18, 10751]"
378,405,La strada,13.86,974,[18]
379,458302,Rémi sans famille,15.312,399,"[12, 10751, 18]"
380,31411,The Cameraman,10.722,323,"[35, 10749, 18]"
381,3777,蜘蛛巣城,22.169,751,"[18, 36]"
382,360814,दंगल,23.214,884,"[18, 10751, 35, 28]"
383,10386,The Iron Giant,52.152,5174,"[10751, 16, 878, 18]"
384,8290,La Grande Vadrouille,25.778,1242,"[35, 10752]"
385,10242,What Ever Happened to Baby Jane?,23.864,957,"[18, 27, 53]"
386,10404,大红灯笼高高挂,14.447,648,[18]
387,85,Raiders of the Lost Ark,57.826,11703,"[12, 28]"
388,142061,"Batman: The Dark Knight Returns, Part 2",28.311,1368,"[878, 28, 16, 9648]"
389,552532,Charm City Kings,19.13,429,[18]
390,491480,The Boy Who Harnessed the Wind,33.418,1553,"[18, 36, 10751]"
391,404378,A Street Cat Named Bob,35.291,1315,"[10751, 18]"
392,501929,The Mitchells vs. the Machines,38.404,2664,"[16, 12, 35]"
393,296096,Me Before You,128.27,11614,"[18, 10749]"
394,150540,Inside Out,140.043,19808,"[16, 10751, 12, 18, 35]"
395,522402,Finch,60.292,3166,"[878, 18, 12]"
396,10997,霸王别姬,23.683,509,[18]
